Question ID,Answer
165921,wilmot_proviso
165935,emiliano_zapata
102459,john_paul_jones
4179,teutonic_knights
4186,songhai_empire
149709,black_hole_of_calcutta
4396,epicurus
2359,martin_van_buren
110908,lewis_cass
104790,bonus_army
100716,seneca_falls_convention
2450,parthian_empire
102774,great_northern_war
188818,grover_cleveland
188825,nelson_mandela
188846,justinian_i
170415,leon_trotsky
164339,battle_of_marathon
143871,hanseatic_league
143885,manifest_destiny
109088,tang_dynasty
102977,taiping_rebellion
2639,spartacus
3864,cleisthenes
2709,cyrus_the_great
105161,finland
115409,seneca_falls_convention
3535,all_quiet_on_the_western_front
105217,marcus_garvey
160531,battle_of_shiloh
152390,francisco_vasquez_de_coronado
2919,orion_(mythology)
162743,charlemagne
115710,martin_van_buren
179200,alfred_the_great
177177,naguib_mahfouz
3150,huldrych_zwingli
105322,poseidon
3206,teutonic_knights
140462,peace_of_westphalia
183477,hartford_convention
185549,jacques_cartier
109781,mali_empire
183519,third_crusade
183526,chiang_kai-shek
148722,ming_dynasty
146685,william_howard_taft
105728,council_of_trent
183589,marcus_garvey
3402,war_of_the_spanish_succession
157024,ishtar
107891,justinian_i
163219,teapot_dome_scandal
3479,charlemagne
107954,council_of_chalcedon
3507,taiping_rebellion
122297,mali_empire
163268,crimean_war
187852,john_cabot
187887,atlantic_charter
187894,charles_martel
187915,henry_vii_of_england
187922,hadrian
187936,henry_l._stimson
187950,parthian_empire
146013,henry_clay
167475,louis_riel
187957,battle_of_actium
187964,battle_of_austerlitz
187971,adolf_eichmann
122465,benjamin_harrison
1617,trent_affair
187999,lollardy
188006,bonus_army
188020,john_brown_(abolitionist)
173691,john_sherman
116333,franklin_pierce
3731,hartford_convention
179865,zebulon_pike
153244,the_tin_drum
116382,beowulf
155421,walter_mondale
175924,william_golding
186165,jacques_cartier
106316,tammany_hall
147308,alexander_kerensky
1911,lateran_treaty
3997,prague_spring
147385,wuthering_heights
184275,parthian_empire
4053,battle_of_trenton
147427,wilmot_proviso
151529,first_battle_of_bull_run
184310,maria_theresa
155666,d._h._lawrence
7161,things_fall_apart
6188,sister_carrie
116403,margaret_atwood
184387,saul_bellow
6223,the_crying_of_lot_49
174202,d._h._lawrence
106631,hedda_gabler
188104,the_tin_drum
108745,the_picture_of_dorian_gray
144774,the_republic_(plato)
176841,bleak_house
108878,the_picture_of_dorian_gray
139608,hades
6510,the_importance_of_being_earnest
162162,jack_kerouac
102781,love_in_the_time_of_cholera
162176,madame_bovary
6531,the_mayor_of_casterbridge
6573,volpone
123326,the_trial
170436,thornton_wilder
4550,henry_wadsworth_longfellow
156429,thomas_gray
104916,nikolai_gogol
188888,the_count_of_monte_cristo
141792,the_age_of_innocence
172564,northanger_abbey
107044,the_structure_of_scientific_revolutions
4655,the_awakening_(chopin_novel)
162568,la_belle_dame_sans_merci
6706,andrew_marvell
121401,the_frogs
121422,ralph_ellison
121457,langston_hughes
103026,steppenwolf_(novel)
4725,walt_whitman
164479,the_importance_of_being_earnest
148099,christopher_marlowe
109200,jean_genet
164521,pablo_neruda
107205,the_cherry_orchard
162526,invisible_man
6881,love_in_the_time_of_cholera
188881,invisible_man
105196,taiping_rebellion
6895,octavio_paz
187194,milan_kundera
187208,epic_of_gilgamesh
185164,joseph_conrad
4977,jean_genet
160636,clifford_odets
187201,nadine_gordimer
105378,silent_cry
170933,four_quartets
168910,anthony_burgess
174545,oliver_goldsmith
7126,battle_of_caporetto
121842,an_enemy_of_the_people
5110,henry_james
173047,zora_neale_hurston
6314,william_golding
7168,rabindranath_tagore
5138,ambrose_bierce
173075,atalanta
7189,whiskey_rebellion
7224,j._m._coetzee
7245,the_tin_drum
5215,jorge_luis_borges
179389,nadine_gordimer
5257,all_my_sons
107709,love_in_the_time_of_cholera
107716,major_barbara
5320,the_picture_of_dorian_gray
179403,joseph_conrad
157234,stephen_crane
138516,nathaniel_hawthorne
171304,baldr
164402,lorraine_hansberry
5453,fathers_and_sons_(novel)
148848,crime_and_punishment
185682,a_good_man_is_hard_to_find_(short_story)
183638,love_in_the_time_of_cholera
5488,the_house_of_mirth
175980,george_eliot
183680,hades
165277,naguib_mahfouz
184450,brave_new_world
107982,benjamin_disraeli
5656,john_dryden
5677,the_rape_of_the_lock
7077,manuel_puig
167524,charles_martel
5733,henry_james
5754,all_quiet_on_the_western_front
188034,saul_bellow
120148,cyrus_the_great
188041,thomas_hardy
181902,saul_bellow
188062,silas_marner
188069,john_wilkes_booth
108213,an_american_tragedy
150815,a_portrait_of_the_artist_as_a_young_man
173768,daniel_defoe
188118,bleak_house
188125,a_clockwork_orange
5887,the_master_builder
188167,anne_bradstreet
188181,john_donne
5929,sister_carrie
165697,kwame_nkrumah
4585,the_crying_of_lot_49
5978,major_barbara
188048,cymbeline
180068,the_rime_of_the_ancient_mariner
175994,jude_the_obscure
176001,love_in_the_time_of_cholera
110467,dream_of_the_red_chamber
145327,either/or
145334,their_eyes_were_watching_god
141260,hades
112616,sinclair_lewis
188083,sister_carrie
8708,antibody
105007,zeeman_effect
104713,pauli_exclusion_principle
122430,neutron
8806,pancreas
8295,mitochondrion
8309,transfer_rna
8813,insulin
103061,histone
145558,pancreas
116389,insulin
113057,ketone
9485,sulfuric_acid
8897,pauli_exclusion_principle
188363,pancreas
170184,fugacity
10192,spin_(physics)
10493,ferromagnetism
115780,aldosterone
10521,raman_scattering
8932,electronegativity
112693,liquid_crystal
147637,pauli_exclusion_principle
173894,dopamine
184632,viscosity
108094,pancreas
104825,microtubule
108535,wittig_reaction
113813,nernst_equation
8428,glycolysis
8197,anaphase
107429,spin_(physics)
8617,ether
9373,liquid_crystal
185269,amine
10689,dark_matter
107471,neutron
168420,peptidoglycan
110054,dopamine
8176,citric_acid_cycle
161777,electronegativity
113659,vapor_pressure
12292,hypnos
12320,tlaloc
106533,hera
120974,paris_commune
12460,battle_of_trenton
117082,epicurus
106925,tammany_hall
12726,indra
10738,franz_boas
10752,gunnar_myrdal
111111,melampus
12817,zoroastrianism
10850,max_weber
12999,demeter
105189,bystander_effect
123634,emile_durkheim
105245,pragmatism
11046,taiping_rebellion
13125,tlaloc
13167,heracles
13195,ishtar
109452,karl_marx
11158,orinoco
109543,john_stuart_mill
121856,heracles
11417,seychelles
122073,immanuel_kant
122080,clifford_geertz
107821,martin_heidegger
11578,either/or
11753,georg_wilhelm_friedrich_hegel
11914,thomas_hobbes
11942,robert_nozick
105077,indra
118482,tezcatlipoca
12026,peter_abelard
12033,the_protestant_ethic_and_the_spirit_of_capitalism
116501,indra
12054,the_structure_of_scientific_revolutions
12061,abraham_maslow
163618,yom_kippur
12075,stanley_milgram
103740,the_theory_of_the_leisure_class
108416,titus_andronicus
13293,anansi
106393,phillips_curve
188314,martin_heidegger
