Question ID,Sentence Position,Answer,QANTA Scores
2390,3,carthage,"carthage:0.120553743404, hannibal:0.034105678386, vandals:0.0246747601716, hittites:0.0156041926779, paraguay:0.0142813878872, oda_nobunaga:0.0141366962947, claudius:0.0140813460935, justinian_i:0.0120698568341, fort_ticonderoga:0.0118097884162, hadrian:0.0113620096041, marcus_licinius_crassus:0.0112047981568, hyksos:0.0107825278384, mali_empire:0.0105653164138, sparta:0.00983309999537, byzantine_empire:0.00927727206872, peter_the_great:0.00882815577537, miguel_hidalgo_y_costilla:0.00798309007979, emiliano_zapata:0.00776270285036, parthian_empire:0.00760760823831, tang_dynasty:0.00744622890744"
106503,2,congress_of_vienna,"congress_of_vienna:0.18004693222, teutonic_knights:0.0257698900839, peace_of_westphalia:0.0214695834898, hanseatic_league:0.0207373914319, lateran_treaty:0.0155325444503, council_of_constance:0.0145052190105, council_of_trent:0.0123860260616, darius_i:0.0103264206893, battle_of_austerlitz:0.0101156069607, thirty_years'_war:0.00991510375103, louisiana_purchase:0.00942473743753, francisco_franco:0.00882754390946, league_of_nations:0.00867322782456, war_of_devolution:0.00831189671722, battle_of_the_bulge:0.00789714616741, treaty_of_brest-litovsk:0.00787803434607, otto_von_bismarck:0.00747606443652, monroe_doctrine:0.00728887211052, atlantic_charter:0.00722647426849, third_crusade:0.00675142324444"
106503,3,congress_of_vienna,"congress_of_vienna:0.224345119428, teutonic_knights:0.0199585218791, lateran_treaty:0.0188224845075, peace_of_westphalia:0.0164178376399, council_of_constance:0.0141442484625, council_of_trent:0.0129912449641, hanseatic_league:0.0120062518027, battle_of_austerlitz:0.0107729643775, louisiana_purchase:0.00993026391301, otto_von_bismarck:0.00907986078182, thirty_years'_war:0.00844821664624, league_of_nations:0.00815851151405, francisco_franco:0.00806008841158, third_crusade:0.00733490460841, war_of_devolution:0.00715492008458, emilio_aguinaldo:0.00684279776287, congress_of_berlin:0.00670263469064, monroe_doctrine:0.00665237493906, battle_of_caporetto:0.00663298472648, atlantic_charter:0.00641873964529"
165897,2,francisco_franco,"francisco_franco:0.0383488577287, darius_i:0.0339117897969, emilio_aguinaldo:0.0292269833228, napoleon_iii:0.0279374562663, ming_dynasty:0.0232362744409, benito_mussolini:0.015574795308, adolf_eichmann:0.0146439416557, salvador_allende:0.0143979540973, jawaharlal_nehru:0.0136334819116, konrad_adenauer:0.0124436164471, winston_churchill:0.0122701899782, charles_martel:0.012122986672, william_henry_harrison:0.0109107827576, neville_chamberlain:0.0108177792424, ethiopia:0.0105113019132, paul_von_hindenburg:0.0103760109499, paris_commune:0.0103463270955, nero:0.0100466653589, georges_clemenceau:0.00881264371663, john_brown_(abolitionist):0.00779552750512"
165897,3,francisco_franco,"francisco_franco:0.0639853472986, emilio_aguinaldo:0.034485111468, darius_i:0.0221111190627, adolf_eichmann:0.0196388362961, benito_mussolini:0.019161929795, napoleon_iii:0.0188211336037, salvador_allende:0.0143067010097, ming_dynasty:0.0135624206599, jawaharlal_nehru:0.0127910089504, georges_clemenceau:0.0122892236804, winston_churchill:0.011912014393, paul_von_hindenburg:0.0103351578089, charles_martel:0.00960701511095, konrad_adenauer:0.00915624101028, william_henry_harrison:0.00895061433333, antonio_lopez_de_santa_anna:0.00877490705241, neville_chamberlain:0.00796481740763, ethiopia:0.00794967460267, john_brown_(abolitionist):0.00794582080373, mobutu_sese_seko:0.00750545319727"
165906,1,william_ewart_gladstone,"william_ewart_gladstone:0.123619741036, benjamin_disraeli:0.0805747286537, john_c._calhoun:0.0589461872925, henry_vii_of_england:0.0279355730847, alexander_h._stephens:0.0237274720824, robert_walpole:0.0193977155438, maximilien_de_robespierre:0.019026321269, jefferson_davis:0.0186837463163, charles_stewart_parnell:0.0158202941634, opium_wars:0.0112984999063, dorr_rebellion:0.0104754566826, whiskey_ring:0.00997902060042, david_lloyd_george:0.00993349371282, winston_churchill:0.0097282131256, john_brown_(abolitionist):0.00963555052663, ostend_manifesto:0.00942832425881, second_bank_of_the_united_states:0.00937871353961, elizabeth_cady_stanton:0.00891528105527, thomas_hart_benton_(politician):0.0081665623444, muhammad_ali_jinnah:0.00809854367539"
165906,2,william_ewart_gladstone,"william_ewart_gladstone:0.284934897763, benjamin_disraeli:0.179458627581, john_c._calhoun:0.017822986211, david_lloyd_george:0.0170863137574, robert_walpole:0.0127713529087, muhammad_ali_jinnah:0.0101902519767, alexander_ii_of_russia:0.00896708043588, dorr_rebellion:0.00896560238584, whiskey_ring:0.00843403494962, hideki_tojo:0.00841384068251, brian_mulroney:0.00814883909751, otto_von_bismarck:0.00803864196406, alexander_h._stephens:0.00799863971164, henry_vii_of_england:0.00791325243242, oliver_cromwell:0.00710124282189, ostend_manifesto:0.00655860058334, huldrych_zwingli:0.00586338479854, opium_wars:0.00585512227069, charles_stewart_parnell:0.00566826575251, cultural_revolution:0.00554471908178"
165906,3,william_ewart_gladstone,"william_ewart_gladstone:0.249538984543, benjamin_disraeli:0.16712935527, david_lloyd_george:0.0228107898316, charles_stewart_parnell:0.0128051926975, brian_mulroney:0.0119950961484, john_c._calhoun:0.0115359616381, muhammad_ali_jinnah:0.00929254678639, robert_walpole:0.00915576273043, alexander_kerensky:0.00859287742002, oliver_cromwell:0.00844268584579, henry_vii_of_england:0.00773371883767, whiskey_ring:0.00649812287393, girolamo_savonarola:0.00619890404132, kwame_nkrumah:0.0061752004413, charles_lindbergh:0.0061477830899, hideki_tojo:0.00597920986479, clarence_darrow:0.00583872502519, samuel_adams:0.00560406986463, opium_wars:0.00517590931878, alexander_h._stephens:0.00517464370642"
165908,2,salmon_p._chase,"salmon_p._chase:0.217887741615, martin_van_buren:0.0522257618329, william_h._seward:0.050560448308, john_sherman:0.038443594087, james_buchanan:0.0252500018768, millard_fillmore:0.022930785424, william_mckinley:0.0207358306712, schenck_v._united_states:0.0132875242729, lester_b._pearson:0.0126683081726, wilmot_proviso:0.0116879224414, roger_b._taney:0.0115775890753, henry_clay:0.0115490607771, sam_houston:0.0108514736039, eugene_v._debs:0.0102541158711, charles_sumner:0.00913588154347, grover_cleveland:0.00866691819427, george_wallace:0.00857534607698, stephen_a._douglas:0.00748761889215, lewis_cass:0.00718897292324, william_jennings_bryan:0.00685364642454"
165908,3,salmon_p._chase,"salmon_p._chase:0.280839617453, william_h._seward:0.0388959433059, john_sherman:0.0289071550487, millard_fillmore:0.0242615272267, martin_van_buren:0.0214560112081, william_mckinley:0.0160197467245, james_buchanan:0.0155014217345, lester_b._pearson:0.014506598269, schenck_v._united_states:0.0139470249787, roger_b._taney:0.0113843794625, henry_clay:0.0104337000118, sam_houston:0.00889483228285, george_wallace:0.00832296618891, stephen_a._douglas:0.00823069265711, wilmot_proviso:0.00775065575768, charles_sumner:0.00738943573999, eugene_v._debs:0.0072494692993, john_tyler:0.00705957388468, mapp_v._ohio:0.00655958198066, henry_cabot_lodge,_jr.:0.00628925855394"
183515,2,walter_mondale,"walter_mondale:0.377201033516, grover_cleveland:0.0442659406613, ronald_reagan:0.0301959273176, hubert_humphrey:0.0187601649995, andrew_jackson:0.0161506398577, adolf_hitler:0.0153299508417, warren_g._harding:0.0129448994843, spiro_agnew:0.0125061447258, millard_fillmore:0.0110120037889, mao_zedong:0.0101204456314, earl_warren:0.0101195963066, darius_i:0.00970914256545, jimmy_carter:0.00937779248715, henry_cabot_lodge:0.00876186134006, barry_goldwater:0.00875427357573, charles_evans_hughes:0.00857483866666, free_soil_party:0.00699685273695, charles_de_gaulle:0.00673363809457, henry_cabot_lodge,_jr.:0.0066735441811, brian_mulroney:0.00654069948321"
165912,1,benjamin_disraeli,"benjamin_disraeli:0.139117353222, john_sherman:0.035301105707, elizabeth_cady_stanton:0.0231444886658, james_a._garfield:0.0154298146854, marco_polo:0.0132072013077, alexander_ii_of_russia:0.0112113161967, martin_luther:0.0108501715031, harry_s._truman:0.00912773425928, winston_churchill:0.00910957100907, neville_chamberlain:0.00895233834079, molly_maguires:0.00858912345364, henry_cabot_lodge:0.00851369498413, otto_von_bismarck:0.0082847409055, samuel_adams:0.00820708235897, frederick_douglass:0.0079680759884, calvin_coolidge:0.00772361072809, seneca_falls_convention:0.00754056571358, napoleon_iii:0.00739826902601, john_hay:0.00736392886916, adolf_hitler:0.00689773540293"
165912,2,benjamin_disraeli,"benjamin_disraeli:0.504966999019, william_ewart_gladstone:0.0300197906064, charles_stewart_parnell:0.0151624082121, maria_theresa:0.0117881508112, winston_churchill:0.0110779080212, neville_chamberlain:0.00988907509991, arthur_wellesley,_1st_duke_of_wellington:0.00812290864355, elizabeth_cady_stanton:0.00741785549296, john_hancock:0.00709513163894, alexander_ii_of_russia:0.00638613477411, muhammad_ali_jinnah:0.00612065471616, napoleon_iii:0.00572620808548, cecil_rhodes:0.00504929079209, seneca_falls_convention:0.00494120171115, samuel_adams:0.00467222441659, battle_of_plassey:0.00426287819608, alexander_h._stephens:0.00409977240717, war_of_the_spanish_succession:0.00407223567047, margaret_thatcher:0.00404859733953, cultural_revolution:0.00404305756236"
165912,3,benjamin_disraeli,"benjamin_disraeli:0.606883229456, charles_stewart_parnell:0.038212153298, william_ewart_gladstone:0.0269367772377, neville_chamberlain:0.0111891065526, winston_churchill:0.00902835317386, muhammad_ali_jinnah:0.00638753797627, maria_theresa:0.00514652400812, cultural_revolution:0.00429175406228, elizabeth_cady_stanton:0.00416432064597, john_hancock:0.00403077381313, adolf_hitler:0.00401795869565, arthur_wellesley,_1st_duke_of_wellington:0.00391857040624, napoleon_iii:0.00387088010145, cecil_rhodes:0.0036017389448, marco_polo:0.00328756931645, paul_von_hindenburg:0.00326247842743, seneca_falls_convention:0.00317895032853, battle_of_tannenberg:0.0031444127706, battle_of_plassey:0.0031426884236, jameson_raid:0.00303277444157"
3956,3,muhammad_ali_jinnah,"muhammad_ali_jinnah:0.0630508189849, jawaharlal_nehru:0.0319637331526, indira_gandhi:0.0217465292126, benjamin_disraeli:0.0188099892498, william_henry_harrison:0.012948167697, winston_churchill:0.0129207125709, kwame_nkrumah:0.0112497447752, brigham_young:0.0100349276166, eleanor_roosevelt:0.00988963458383, mapp_v._ohio:0.00870996182775, victoria_woodhull:0.00859869767918, chiang_kai-shek:0.00856331601846, william_tecumseh_sherman:0.00835261585071, booker_t._washington:0.00828536863161, alexander_h._stephens:0.00795355850929, john_c._calhoun:0.00753426580371, arthur_wellesley,_1st_duke_of_wellington:0.00739868430043, henry_l._stimson:0.00695954007993, charles_stewart_parnell:0.00683684812873, mustafa_kemal_ataturk:0.00671952678758"
4125,4,jawaharlal_nehru,"jawaharlal_nehru:0.0248515204152, muhammad_ali_jinnah:0.018059015985, napoleon_iii:0.014330951091, kwame_nkrumah:0.0122941569598, francisco_franco:0.0121854362844, neville_chamberlain:0.0119924753202, indira_gandhi:0.0111423334274, hideki_tojo:0.00953871749823, winston_churchill:0.00930723975944, paul_von_hindenburg:0.00890720351555, benjamin_disraeli:0.00864755908722, camillo_benso,_count_of_cavour:0.00778385428867, konrad_adenauer:0.00774792817118, adolf_eichmann:0.00748425272534, ghana:0.00704742920858, brian_mulroney:0.00678008793973, nelson_mandela:0.00675659807949, oliver_cromwell:0.00645396144661, labour_party_(uk):0.00620920527368, tecumseh:0.00609905250417"
159067,0,battle_of_caporetto,"battle_of_caporetto:0.324992233108, battle_of_kings_mountain:0.0660564625035, finland:0.0369406140652, porfirio_diaz:0.0267312427136, second_boer_war:0.0183448003736, peace_of_westphalia:0.0176221581758, lester_b._pearson:0.0149173949292, adolf_hitler:0.013600844489, maximilien_de_robespierre:0.0134233402233, battle_of_antietam:0.0129145852614, battle_of_plassey:0.00903232806296, cultural_revolution:0.00878294065745, alexander_ii_of_russia:0.0075267576603, first_crusade:0.00665326599381, night_of_the_long_knives:0.00595593625046, alexander_kerensky:0.00590629582586, francisco_franco:0.00570739852794, salvador_allende:0.00568267431707, tokugawa_ieyasu:0.00565169237584, battle_of_the_thames:0.0054330616415"
159067,1,battle_of_caporetto,"battle_of_caporetto:0.60371616303, adolf_hitler:0.0368943824204, alexander_kerensky:0.0184137701031, night_of_the_long_knives:0.0172590629921, battle_of_bannockburn:0.0115245911313, battle_of_the_bulge:0.0105093214732, battle_of_kings_mountain:0.01011877117, peace_of_westphalia:0.00769760013315, henry_cabot_lodge,_jr.:0.00655393869362, battle_of_tannenberg:0.00588738095035, battle_of_trafalgar:0.00536790158002, maximilien_de_robespierre:0.00430222948306, adlai_stevenson_ii:0.00414598992818, benjamin_harrison:0.00411079731677, porfirio_diaz:0.00403284399161, congress_of_berlin:0.00399257751413, lester_b._pearson:0.00390708580242, boston_massacre:0.00375976189613, battle_of_leyte_gulf:0.00349788809682, stephen_a._douglas:0.00328299446203"
159067,2,battle_of_caporetto,"battle_of_caporetto:0.344996863523, adolf_hitler:0.0319433914107, battle_of_the_bulge:0.0165234270911, alexander_kerensky:0.0163188166703, battle_of_bannockburn:0.0121871239092, battle_of_kings_mountain:0.0120075653065, battle_of_trafalgar:0.0115427250336, night_of_the_long_knives:0.0105914441996, battle_of_tannenberg:0.00871789119912, peace_of_westphalia:0.00731911066718, hideki_tojo:0.00725234322679, battle_of_leyte_gulf:0.00709320780586, lester_b._pearson:0.00687010298775, henry_cabot_lodge,_jr.:0.00659663985135, congress_of_berlin:0.00633401571822, verdun:0.00596454405873, second_boer_war:0.00572848969352, porfirio_diaz:0.00564187116353, battle_of_austerlitz:0.00547242558683, paul_von_hindenburg:0.0053450380418"
2089,0,thomas_hart_benton_(politician),"thomas_hart_benton_(politician):0.249765457822, warren_g._harding:0.0808383212284, booker_t._washington:0.0471355977955, cultural_revolution:0.0441770783443, john_sherman:0.0428312294089, prague_spring:0.021649939892, porfirio_diaz:0.0149918212784, marcus_licinius_crassus:0.0136579030916, adolf_eichmann:0.0135465680508, hartford_convention:0.0129474126926, july_revolution:0.0127143871407, free_soil_party:0.0121999261387, claudius:0.0100513229625, tang_dynasty:0.00949149910472, jameson_raid:0.0082875444113, toyotomi_hideyoshi:0.00752754896209, mao_zedong:0.00711532921405, wounded_knee_massacre:0.00671578875105, hubert_humphrey:0.00666221795425, solon:0.0065994497239"
2089,2,thomas_hart_benton_(politician),"thomas_hart_benton_(politician):0.160164363493, claudius:0.0148988848523, horace_greeley:0.0102226652573, brook_farm:0.0099391205628, warren_g._harding:0.0097325691983, huey_long:0.00936758778821, fashoda_incident:0.00935177818737, joseph_mccarthy:0.0092985808849, daniel_boone:0.00902693749327, hubert_humphrey:0.0085381177345, nelson_mandela:0.00845981572078, free_soil_party:0.00815272209973, porfirio_diaz:0.00807227961251, teapot_dome_scandal:0.00746128505391, finland:0.00738452101694, girolamo_savonarola:0.0073275250486, benito_juarez:0.00680820833023, vandals:0.00660916510768, gadsden_purchase:0.00648524302076, oregon_trail:0.00639326959639"
2089,3,thomas_hart_benton_(politician),"thomas_hart_benton_(politician):0.22801133408, free_soil_party:0.0129268615225, warren_g._harding:0.0113674876214, joseph_mccarthy:0.010847810388, adlai_stevenson_ii:0.0108208801715, fashoda_incident:0.010568704993, claudius:0.0100047414906, huey_long:0.00931047205403, john_sherman:0.00899361201975, porfirio_diaz:0.00780139007369, easter_rising:0.00743885435275, hubert_humphrey:0.00665684793301, clarence_darrow:0.00664210103572, barry_goldwater:0.00664101427034, benjamin_harrison:0.00655421322411, daniel_boone:0.00626161522723, war_of_the_pacific:0.00612136658553, horace_greeley:0.0058556556991, zebulon_pike:0.00575643238415, rutherford_b._hayes:0.00564917724752"
2089,4,thomas_hart_benton_(politician),"thomas_hart_benton_(politician):0.244092842135, free_soil_party:0.012371732384, fashoda_incident:0.0118735238162, joseph_mccarthy:0.0114271386532, claudius:0.0110605464918, warren_g._harding:0.0108443941563, huey_long:0.00940613376039, daniel_boone:0.00891144244245, adlai_stevenson_ii:0.00819068261762, porfirio_diaz:0.00767119656238, anti-masonic_party:0.00748384046316, benjamin_harrison:0.00736120781008, zebulon_pike:0.00730512194671, hubert_humphrey:0.00729867319681, wilmot_proviso:0.00667947158401, gadsden_purchase:0.00647157470895, teapot_dome_scandal:0.0060593707886, hull_house:0.00594100444558, horace_greeley:0.00568397903476, john_sherman:0.00567189555369"
2090,0,roger_b._taney,"roger_b._taney:0.201571834618, knights_of_labor:0.031782568614, andrew_jackson:0.0217295838443, whig_party_(united_states):0.0168032508441, salem_witch_trials:0.0163436458742, alexander_h._stephens:0.0147906455636, antonio_de_oliveira_salazar:0.0130002975981, war_of_the_pacific:0.0121413003642, john_paul_jones:0.0115684495514, lester_b._pearson:0.0103343952414, miguel_hidalgo_y_costilla:0.0100377920149, james_a._garfield:0.00988324544271, luddite:0.00976079558293, bartolomeu_dias:0.00967130331551, triangle_shirtwaist_factory_fire:0.00866293940627, getulio_vargas:0.00856228640024, benito_juarez:0.00839767979521, stephen_a._douglas:0.00815898039682, teapot_dome_scandal:0.00785543470916, john_a._macdonald:0.00771778557835"
2090,1,roger_b._taney,"roger_b._taney:0.0542643123648, anti-masonic_party:0.0364442955753, andrew_jackson:0.0299121642344, salem_witch_trials:0.0225372621202, john_a._macdonald:0.018925992142, antonio_de_oliveira_salazar:0.0165661056303, chester_a._arthur:0.0139252037755, james_a._garfield:0.0110213211736, bartolomeu_dias:0.0102000806033, luddite:0.0100253018746, dorr_rebellion:0.0099126600253, battle_of_the_thames:0.00978687756757, alexander_h._stephens:0.00967309599827, samuel_j._tilden:0.00960919396152, gang_of_four:0.00925673803286, henry_the_navigator:0.00907466310468, marco_polo:0.00875506241124, james_k._polk:0.00815373494396, camillo_benso,_count_of_cavour:0.00693739381827, portugal:0.00688013256667"
2090,2,roger_b._taney,"roger_b._taney:0.101851489337, samuel_j._tilden:0.014421569432, andrew_jackson:0.0132311231719, salem_witch_trials:0.0125828860914, shays'_rebellion:0.0124733381709, thomas_hart_benton_(politician):0.0121647720328, lewis_cass:0.0119477317934, whig_party_(united_states):0.011845971466, james_k._polk:0.0118053858319, henry_the_navigator:0.0100273336705, salmon_p._chase:0.00989869418962, james_a._garfield:0.00963098164611, john_wycliffe:0.0089177762657, alexander_h._stephens:0.0086780711538, second_bank_of_the_united_states:0.00803525075683, john_sherman:0.00743092401434, john_a._macdonald:0.00736188557064, antonio_de_oliveira_salazar:0.00733261093682, martin_van_buren:0.00665817749425, chester_a._arthur:0.0063719022252"
2090,3,roger_b._taney,"roger_b._taney:0.224523162839, james_a._garfield:0.0135416617526, ambrose_burnside:0.0109609755589, fugitive_slave_laws:0.0107039710952, shays'_rebellion:0.0105925630227, antonio_de_oliveira_salazar:0.0103882783122, benito_juarez:0.0103638377736, henry_the_navigator:0.0101189911832, salem_witch_trials:0.0100319561029, thomas_hart_benton_(politician):0.00868608818097, salmon_p._chase:0.0081953894105, john_wycliffe:0.00814685091617, miguel_hidalgo_y_costilla:0.00786292700255, alexander_h._stephens:0.00746503694848, roger_williams_(theologian):0.00745612288719, jawaharlal_nehru:0.00697603769309, sam_houston:0.00665888031068, compromise_of_1850:0.00653198749062, william_h._seward:0.00641408049846, benito_mussolini:0.00628091307583"
2090,4,roger_b._taney,"roger_b._taney:0.26707398785, john_marshall:0.0114856014589, antonio_de_oliveira_salazar:0.0112718989909, salmon_p._chase:0.0110467591055, fugitive_slave_laws:0.0110228549834, james_a._garfield:0.0106918869914, earl_warren:0.00940261373853, ambrose_burnside:0.00916770045402, john_wycliffe:0.00907567646235, stephen_a._douglas:0.00883210628377, benito_juarez:0.00830229497556, thomas_hart_benton_(politician):0.00770073893408, shays'_rebellion:0.00759541219978, whig_party_(united_states):0.00748281729785, salem_witch_trials:0.00715238617862, compromise_of_1850:0.00703845622906, sam_houston:0.00699452971812, alexander_hamilton:0.00685880346234, chester_a._arthur:0.00668793658954, roger_williams_(theologian):0.00662616719159"
163847,0,council_of_constance,"council_of_constance:0.0893362608193, yuan_dynasty:0.0436995376, james_g._blaine:0.0346341640558, john_adams:0.0321022824671, earl_warren:0.0239224913438, mao_zedong:0.022396467813, john_wycliffe:0.0222423481462, clarence_darrow:0.0169443499025, john_sherman:0.0168587427219, sherman_antitrust_act:0.0161404292688, benjamin_harrison:0.0157754814563, george_washington:0.0118797971265, paraguay:0.0108736731313, teutonic_knights:0.0106541278076, ming_dynasty:0.0105905888939, thomas_nast:0.0104802671311, elizabeth_cady_stanton:0.0101216258284, battle_of_shiloh:0.00925998093118, lollardy:0.00890138489541, thomas_paine:0.00885067202969"
