Question ID,Sentence Position,Answer,QANTA Scores,IR_Wiki Scores,Question Text
2390,0,carthage,"portugal:0.0748547872365, peter_the_great:0.059341886748, paraguay:0.0487103853552, samuel_gompers:0.0396800962671, ethiopia:0.035498772914, amerigo_vespucci:0.0300109271815, douglas_macarthur:0.0261800793744, suez_crisis:0.0240598682041, oda_nobunaga:0.0220240523581, jamaica:0.0213090838777, finland:0.0194695593488, henry_the_navigator:0.0173702970777, christopher_columbus:0.0172101665884, emiliano_zapata:0.016724998149, vitus_bering:0.0150284133466, samuel_de_champlain:0.0137811761974, charles_de_gaulle:0.0113033551654, gamal_abdel_nasser:0.0111812877965, haile_selassie:0.0104426684559, mali_empire:0.00953917596126","carthage:4.46484593046, nelson_mandela:3.46234617073, verdun:3.15971690441, mali_empire:3.07175457186, ancient_corinth:3.01212692235, teapot_dome_scandal:2.6037119541, jamaica:2.6037119541, byzantine_empire:2.4800311556, antonio_lopez_de_santa_anna:2.4800311556, paris_commune:2.38758166566, council_of_constance:2.38758166566, sparta:2.31297053998, cyrus_the_great:2.20891279225, chiang_kai-shek:2.14628676236, safavid_dynasty:2.11277334269, gang_of_four:2.11277334269, cherokee:2.08967018412, charles_lindbergh:2.07650192779, maximilien_de_robespierre:1.91357333451, gadsden_purchase:1.89950155507",it was founded as kart-hadasht meaning new town and it is now a suburb of a world capital.
2390,1,carthage,"battle_of_shiloh:0.033232900633, henry_the_navigator:0.0284243790704, portugal:0.0265999397752, henry_hudson:0.0230739594363, douglas_macarthur:0.0208447153599, peter_the_great:0.0193701648315, john_cabot:0.0184925415521, hittites:0.0142397831655, paraguay:0.0142090385419, oda_nobunaga:0.0135919505505, christopher_columbus:0.0131529600763, emiliano_zapata:0.0121641982969, battle_of_actium:0.0118758916012, marcus_licinius_crassus:0.0105880716126, hyksos:0.0103782098671, carthage:0.0103271463015, louis_riel:0.010006428617, frederick_douglass:0.00998968464617, jawaharlal_nehru:0.00961062899454, amerigo_vespucci:0.00952671178009","carthage:6.0041482036, ancient_corinth:4.56760101552, verdun:4.3840689918, sparta:3.21965765926, giuseppe_garibaldi:3.11540740105, thebes,_greece:3.04787972491, antonio_de_oliveira_salazar:3.04787972491, ivan_the_terrible:3.03568657219, genghis_khan:2.49819620988, khmer_empire:2.44717964104, cherokee:2.43951020335, cyrus_the_great:2.29025605567, third_crusade:2.24492966601, jacquerie:2.13806703826, battle_of_austerlitz:2.10777692242, byzantine_empire:2.10130813893, antonio_lopez_de_santa_anna:2.10130813893, teutonic_knights:2.0927306877, cecil_rhodes:2.03562558708, herbert_hoover:2.02214536117",it was founded as kart-hadasht meaning new town and it is now a suburb of a world capital. the byrsu its ancient citadel was on a hill overlooking the sea.
2390,2,carthage,"hannibal:0.0323164945129, carthage:0.0279183721093, paraguay:0.0240669914741, vandals:0.0239426417275, james_g._blaine:0.0167411173927, fort_ticonderoga:0.016665160435, peter_the_great:0.0161688171834, portugal:0.0161407677418, justinian_i:0.0147609749978, claudius:0.0145242347177, thomas_jefferson:0.0141909510728, sparta:0.0130113140251, hyksos:0.0122718006529, oda_nobunaga:0.0117875078387, mali_empire:0.0117851555407, hittites:0.0111101876032, babur:0.00977806468768, muhammad:0.00926880721753, battle_of_shiloh:0.00909129332147, marcus_licinius_crassus:0.00899184262296","carthage:6.40252637044, ancient_corinth:5.30113518004, byzantine_empire:3.89852275404, antonio_lopez_de_santa_anna:3.89852275404, thebes,_greece:3.41656872902, antonio_de_oliveira_salazar:3.41656872902, first_crusade:3.09504340564, vandals:2.9386244031, justinian_i:2.90020241217, attila:2.71186978014, genghis_khan:2.69074019573, hernando_de_soto:2.49294712595, cyrus_the_great:2.43031852936, charles_martel:2.3553790945, ivan_the_terrible:2.33985835051, verdun:2.29585822528, sparta:2.19748248801, umayyad_caliphate:2.03757782331, fourth_crusade:2.0205697997, muhammad:1.92837930013",it was founded as kart-hadasht meaning new town and it is now a suburb of a world capital. the byrsu its ancient citadel was on a hill overlooking the sea. when it was plundered and burned its conquerors forbid all human habitation on its site but it was re-founded and later captured by the vandals the byzantine_empire and in 705 the arabs.
106503,0,congress_of_vienna,"battle_of_austerlitz:0.06581875769, treaty_of_brest-litovsk:0.0211007800884, council_of_constance:0.016784942076, atlantic_charter:0.0159711766025, labour_party_(uk):0.0151943068445, solon:0.0122581462291, night_of_the_long_knives:0.0118143238919, paul_von_hindenburg:0.0105632833286, meiji_restoration:0.00989676559274, diet_of_worms:0.00975165029797, peasants'_revolt:0.0096835213499, henry_l._stimson:0.00953728637593, suez_crisis:0.00901672961124, teutonic_knights:0.00896420970994, homestead_strike:0.00883961760678, mustafa_kemal_ataturk:0.00874323672585, konrad_adenauer:0.00828276802542, gunpowder_plot:0.00811084426317, seneca_falls_convention:0.00806387015904, battle_of_caporetto:0.00798045924073","congress_of_vienna:3.78992924717, crimean_war:2.86341111589, fidel_castro:2.61742000914, leon_trotsky:2.5180176061, charles_de_gaulle:2.46666497967, napoleon_iii:2.45137776118, battle_of_austerlitz:2.12654109917, winston_churchill:2.05108204438, emiliano_zapata:2.03511177424, jawaharlal_nehru:2.01160244265, hannibal:1.99569596068, boxer_rebellion:1.98235978803, konrad_adenauer:1.96894770475, georges_clemenceau:1.90426164336, giuseppe_garibaldi:1.90060932486, chiang_kai-shek:1.82109397354, brian_mulroney:1.79073883926, mao_zedong:1.78520481951, benito_mussolini:1.77216694719, charles_evans_hughes:1.72065608436",the nations involved in it had allied immediately before it through the treaty of chaumont and one of the figures involved in it continued the reforms of karl vom stein.
106503,1,congress_of_vienna,"treaty_of_brest-litovsk:0.0290714511706, congress_of_vienna:0.0258778274298, council_of_constance:0.0241473372817, louisiana_purchase:0.0181037571314, atlantic_charter:0.0166075111719, christopher_columbus:0.0157171744506, embargo_act_of_1807:0.0151676647378, meiji_restoration:0.0131351661464, lateran_treaty:0.0131015412626, battle_of_austerlitz:0.0114690350121, emilio_aguinaldo:0.0111630953111, paul_von_hindenburg:0.0109913939546, council_of_trent:0.0104656592134, john_hay:0.00997642396169, treaty_of_ghent:0.00957602764316, credit_mobilier_of_america_scandal:0.00871270424126, fidel_castro:0.00841245786591, mustafa_kemal_ataturk:0.00788445845375, francisco_franco:0.00781383281794, league_of_nations:0.00777007134523","congress_of_vienna:3.91160914684, napoleon_iii:2.94518119266, leon_trotsky:2.8829743058, benito_mussolini:2.39476402981, charles_de_gaulle:2.28058877481, william_howard_taft:2.21383996129, brian_mulroney:2.20604711643, fidel_castro:2.1172812165, crimean_war:2.07705519349, league_of_nations:1.98664444406, jawaharlal_nehru:1.94418852106, otto_von_bismarck:1.9243750235, nelson_mandela:1.85632596972, arthur_wellesley,_1st_duke_of_wellington:1.76958852283, treaty_of_waitangi:1.76747990104, louisiana_purchase:1.72424021671, francisco_franco:1.72150190666, war_of_the_pacific:1.71583457002, harry_s._truman:1.70263285129, portugal:1.68977253094",the nations involved in it had allied immediately before it through the treaty of chaumont and one of the figures involved in it continued the reforms of karl vom stein. due to disagreement over italys settlement spain refused to sign the final act of it and switzerland was granted a new constitution.
165897,0,francisco_franco,"benito_mussolini:0.343499429074, hannibal:0.0910101102209, emilio_aguinaldo:0.0569233039207, bernardo_o'higgins:0.0413454730188, andrew_jackson:0.0396819520607, ethiopia:0.0219452058964, charles_de_gaulle:0.0189298631193, jamaica:0.0178878102866, falklands_war:0.0157653473679, winston_churchill:0.014272189012, john_marshall:0.0109627511053, george_meade:0.00983059010704, hernando_de_soto:0.009201770145, douglas_macarthur:0.00800450144527, lewis_cass:0.00744142005091, francisco_pizarro:0.00718397420107, adolf_eichmann:0.00714554867302, rough_riders:0.00685289972995, william_henry_harrison:0.00677865359545, john_c._calhoun:0.00673514993679","seminole_wars:3.40736769424, francisco_franco:3.39496478523, douglas_macarthur:3.14917953488, george_armstrong_custer:2.63656254222, rough_riders:2.61627378234, james_k._polk:2.53263222311, zebulon_pike:2.47817648632, thomas_jefferson:2.33931639976, emilio_aguinaldo:2.32499890865, alfred_dreyfus:2.3046228628, bay_of_pigs_invasion:2.20999551507, bernardo_o'higgins:2.19493601784, francis_drake:2.1099212253, war_of_the_pacific:2.09418863456, battle_of_trafalgar:2.06933759176, vitus_bering:1.94732622693, thirty_years'_war:1.93684593362, eleanor_of_aquitaine:1.89644991411, francisco_pizarro:1.89547057669, inca_empire:1.872569519",at age 22 he became the youngest captain in the spanish army.
165897,1,francisco_franco,"emilio_aguinaldo:0.0391431785257, napoleon_iii:0.0365717697777, ming_dynasty:0.0325225316326, darius_i:0.0243714060219, konrad_adenauer:0.0212971500573, georges_clemenceau:0.0173176704803, neville_chamberlain:0.0168642905331, benito_mussolini:0.0161966553343, paul_von_hindenburg:0.0158717906853, salvador_allende:0.0150099962711, adolf_eichmann:0.0138374768488, paris_commune:0.0129169434567, francisco_franco:0.0124998534034, ethiopia:0.0121270511089, rough_riders:0.0121181317714, nero:0.0115597679572, jamaica:0.0114911114488, falklands_war:0.0114813674755, william_howard_taft:0.0106778835084, hannibal:0.0105015639004","francisco_franco:5.81715654207, spanish_civil_war:3.44158336724, winston_churchill:2.523366973, christopher_columbus:2.48290640407, ulysses_s._grant:2.44086967271, william_mckinley:2.34633260496, margaret_thatcher:2.25008615318, ferdinand_magellan:1.97412394386, douglas_macarthur:1.9399362018, seminole_wars:1.91531483012, arthur_wellesley,_1st_duke_of_wellington:1.88011913713, bernardo_o'higgins:1.81356872682, darius_i:1.79152567471, william_ewart_gladstone:1.7765317059, portugal:1.73485167106, war_of_the_pacific:1.73432238563, benjamin_disraeli:1.71203079657, oliver_cromwell:1.7091679673, charlemagne:1.66077493091, georges_clemenceau:1.5995312607",at age 22 he became the youngest captain in the spanish army. he later quelled a revolt of asturian miners but after the victory of the radicals in the parliamentary elections he was sent to a minor command in the canary_islands.
165906,0,william_ewart_gladstone,"john_c._calhoun:0.199549792552, compromise_of_1850:0.13320498011, benjamin_disraeli:0.0984396471859, charles_stewart_parnell:0.0709133375803, jefferson_davis:0.0396069887963, lewis_cass:0.039320926355, alexander_h._stephens:0.0221137132158, thomas_hart_benton_(politician):0.0154972085645, stephen_a._douglas:0.0126710030743, second_bank_of_the_united_states:0.0119409931132, seminole_wars:0.00976077648837, victoria_woodhull:0.00953208413964, luddite:0.00917525546642, james_buchanan:0.00917130844272, muhammad_ali_jinnah:0.00904886740449, roger_b._taney:0.00897663200362, daniel_webster:0.00855192181588, thomas_jefferson:0.00654276593009, benito_mussolini:0.00586732596785, henry_vii_of_england:0.0056394032599","john_c._calhoun:2.858765593, william_ewart_gladstone:2.79152673156, benjamin_disraeli:2.6499894407, john_tyler:2.5928186441, alexander_h._stephens:2.55768481267, zachary_taylor:2.51018922479, peace_of_westphalia:2.49170939409, giuseppe_garibaldi:2.49170939409, samuel_j._tilden:2.48509941892, daniel_webster:2.48509941892, frederick_douglass:2.37239814946, wilmot_proviso:2.35228703903, john_adams:2.34311205561, martin_van_buren:2.28523969424, william_h._seward:2.27402108998, sam_houston:2.24779460491, franklin_pierce:2.23307363033, thaddeus_stevens:2.18765045527, millard_fillmore:2.1037549233, henry_clay:2.09588309855",this man 's first speech in parliament in 1832 supported slavery.
165906,4,william_ewart_gladstone,"benjamin_disraeli:0.257423435159, william_ewart_gladstone:0.206640969751, david_lloyd_george:0.0210382432689, brian_mulroney:0.0175247977573, charles_stewart_parnell:0.0112411087576, alexander_kerensky:0.00883523387363, robert_walpole:0.00852593772493, kwame_nkrumah:0.00785779277329, muhammad_ali_jinnah:0.00750201066207, oliver_cromwell:0.00668461641652, whiskey_ring:0.00667813021058, john_c._calhoun:0.00628702993968, clarence_darrow:0.0058970879171, margaret_thatcher:0.00582621185141, hideki_tojo:0.00580224363744, opium_wars:0.00564197193807, girolamo_savonarola:0.0054453555322, neville_chamberlain:0.00496382081391, charles_lindbergh:0.00493894432517, cultural_revolution:0.00482926756285","william_ewart_gladstone:7.35109338091, benjamin_disraeli:6.36059832329, david_lloyd_george:3.09734087679, otto_von_bismarck:2.82466250053, charles_stewart_parnell:2.74983807772, winston_churchill:2.61525935714, neville_chamberlain:2.52331509429, crimean_war:2.50768544188, john_a._macdonald:2.15836580162, porfirio_diaz:2.15092202413, congress_of_berlin:2.15092202413, labour_party_(uk):2.02018131353, giuseppe_garibaldi:1.90369900657, napoleon_iii:1.85115960299, georges_clemenceau:1.75292818477, alexander_ii_of_russia:1.74367272446, konrad_adenauer:1.72648678788, muhammad_ali_jinnah:1.7047103273, grover_cleveland:1.67078309642, indira_gandhi:1.66292656238",this man 's first speech in parliament in 1832 supported slavery. after 1850 he led the peelites and was chancellor of the exchequer in the earl of aberdeen 's government. he wrote a pamphlet on turkish killings of bulgarian christians in 1876 and conducted the midlothian campaign. in 1885 he split the liberal party by supporting home rule. name this four-time prime minister an opponent of disraeli.
165908,0,salmon_p._chase,"andrew_jackson:0.140687041675, compromise_of_1850:0.0654801351089, earl_warren:0.0396957495694, daniel_webster:0.0389332967785, william_h._seward:0.0317709080428, roger_b._taney:0.0292371847618, greenback_party:0.0285717861043, homestead_strike:0.0184189059323, wilmot_proviso:0.0174409633819, sam_houston:0.0169792370908, horace_greeley:0.0169549154268, schenck_v._united_states:0.0167743848951, william_jennings_bryan:0.0165669910644, henry_clay:0.0159749628603, fidel_castro:0.0151192703219, charles_evans_hughes:0.0137614209413, dorr_rebellion:0.0135212680649, john_sherman:0.0123122754376, missouri_compromise:0.0105415899434, joseph_mccarthy:0.00884370874209","salmon_p._chase:6.77584580672, second_bank_of_the_united_states:4.00192667926, thaddeus_stevens:3.91589295922, margaret_sanger:3.47370160372, john_jay:3.47370160372, millard_fillmore:3.10486795408, seminole_wars:3.07719757376, daniel_webster:2.95363255178, charles_evans_hughes:2.88020905972, william_h._seward:2.750156379, john_brown_(abolitionist):2.72070632045, louisiana_purchase:2.69757088678, fugitive_slave_laws:2.67008611066, charles_sumner:2.64499684672, compromise_of_1850:2.55021889653, roger_b._taney:2.35013558793, james_buchanan:2.34393822755, rutherford_b._hayes:2.30989597423, franklin_pierce:2.2680622411, stephen_a._douglas:2.25616879158",in jones v. vanzandt this man unsuccessfully argued against the constitutionality of the fugitive slave act.
